sim_alpha,sim_beta,n,parameter,baseline,comparison,rel_increase,mcse_rel
1.0,1.5,10,alpha,mrr_beta,mrr_bernard,-0.09649595828810087,0.09074006324481215
1.0,1.5,10,beta,mrr_beta,mrr_bernard,0.7401096050180911,0.08455125779549094
1.0,1.5,50,alpha,mrr_beta,mrr_bernard,-0.034729312566772474,0.03761615107896613
1.0,1.5,50,beta,mrr_beta,mrr_bernard,0.49090831046187944,0.04055711425844295
1.0,1.5,100,alpha,mrr_beta,mrr_bernard,-0.15299955654399788,0.08312591988511205
1.0,1.5,100,beta,mrr_beta,mrr_bernard,0.24450728472948935,0.035061694226963945
1.0,2.0,10,alpha,mrr_beta,mrr_bernard,-0.05116635061850339,0.028445519814826625
1.0,2.0,10,beta,mrr_beta,mrr_bernard,0.7049141127294822,0.04223677969013427
1.0,2.0,50,alpha,mrr_beta,mrr_bernard,-0.1167468685978168,0.05028061264844235
1.0,2.0,50,beta,mrr_beta,mrr_bernard,0.4470600919698864,0.03510825202409533
1.0,2.0,100,alpha,mrr_beta,mrr_bernard,-0.13157785920185905,0.14385904223863988
1.0,2.0,100,beta,mrr_beta,mrr_bernard,0.1277599768198412,0.05827706772827308
1.0,2.5,10,alpha,mrr_beta,mrr_bernard,-0.03522872161054735,0.08205598357179056
1.0,2.5,10,beta,mrr_beta,mrr_bernard,0.6796116203242386,0.04194122221311856
1.0,2.5,50,alpha,mrr_beta,mrr_bernard,-0.09384905735209115,0.0590177667494088
1.0,2.5,50,beta,mrr_beta,mrr_bernard,0.44523111474743526,0.034006879976326294
1.0,2.5,100,alpha,mrr_beta,mrr_bernard,-0.05401227858643498,0.0902586129962721
1.0,2.5,100,beta,mrr_beta,mrr_bernard,0.27854818427608397,0.017170064716386567
2.0,1.5,10,alpha,mrr_beta,mrr_bernard,-0.014355974339053112,0.04145308541594521
2.0,1.5,10,beta,mrr_beta,mrr_bernard,0.799388624995867,0.08093078202610181
2.0,1.5,50,alpha,mrr_beta,mrr_bernard,-0.09057630958496654,0.04909474692095778
2.0,1.5,50,beta,mrr_beta,mrr_bernard,0.4466500410906349,0.020000571314469345
2.0,1.5,100,alpha,mrr_beta,mrr_bernard,-0.042987139639483196,0.034593525243480513
2.0,1.5,100,beta,mrr_beta,mrr_bernard,0.2467697284512571,0.06526599369107174
2.0,2.0,10,alpha,mrr_beta,mrr_bernard,-0.1364929711737073,0.04297660648214135
2.0,2.0,10,beta,mrr_beta,mrr_bernard,0.658105961053912,0.0431397284419573
2.0,2.0,50,alpha,mrr_beta,mrr_bernard,-0.27833271594500664,0.15607632325492654
2.0,2.0,50,beta,mrr_beta,mrr_bernard,0.4403692128956749,0.02424379652529574
2.0,2.0,100,alpha,mrr_beta,mrr_bernard,-0.057353334237597586,0.0743186487415655
2.0,2.0,100,beta,mrr_beta,mrr_bernard,0.3554670176794339,0.024693357381608303
2.0,2.5,10,alpha,mrr_beta,mrr_bernard,-0.1397034161580435,0.03389175668831167
2.0,2.5,10,beta,mrr_beta,mrr_bernard,0.6398447200005819,0.12355565018202982
2.0,2.5,50,alpha,mrr_beta,mrr_bernard,0.05204732654460198,0.04716193308351625
2.0,2.5,50,beta,mrr_beta,mrr_bernard,0.4436009544074526,0.03999886821118947
2.0,2.5,100,alpha,mrr_beta,mrr_bernard,-0.04531449260097853,0.04471039415646762
2.0,2.5,100,beta,mrr_beta,mrr_bernard,0.28629634725152453,0.03123203279789882
3.0,1.5,10,alpha,mrr_beta,mrr_bernard,-0.12954554713412447,0.037147778514424495
3.0,1.5,10,beta,mrr_beta,mrr_bernard,0.6120617696213637,0.05918979092426558
3.0,1.5,50,alpha,mrr_beta,mrr_bernard,-0.028917518453841495,0.07446155816350769
3.0,1.5,50,beta,mrr_beta,mrr_bernard,0.5051252528291972,0.04118157962340329
3.0,1.5,100,alpha,mrr_beta,mrr_bernard,-0.16703467699515917,0.05745398923669919
3.0,1.5,100,beta,mrr_beta,mrr_bernard,0.12165454489589944,0.0879280822360195
3.0,2.0,10,alpha,mrr_beta,mrr_bernard,-0.2808214470409909,0.09157114039699901
3.0,2.0,10,beta,mrr_beta,mrr_bernard,0.5483657555604537,0.11374027400998901
3.0,2.0,50,alpha,mrr_beta,mrr_bernard,-0.03189688779204891,0.029953658504505938
3.0,2.0,50,beta,mrr_beta,mrr_bernard,0.5214226376313524,0.03209097435867834
3.0,2.0,100,alpha,mrr_beta,mrr_bernard,-0.24553440255851156,0.10966572925008419
3.0,2.0,100,beta,mrr_beta,mrr_bernard,0.3024822427157181,0.006089852212964967
3.0,2.5,10,alpha,mrr_beta,mrr_bernard,-0.1129907400397423,0.12481788186961319
3.0,2.5,10,beta,mrr_beta,mrr_bernard,0.5122915321160937,0.11007081561747148
3.0,2.5,50,alpha,mrr_beta,mrr_bernard,0.30394202038188656,0.18145723574866524
3.0,2.5,50,beta,mrr_beta,mrr_bernard,0.38771052817678786,0.015995972980950086
3.0,2.5,100,alpha,mrr_beta,mrr_bernard,-0.1408110940028684,0.024625380962478467
3.0,2.5,100,beta,mrr_beta,mrr_bernard,0.2304170121211424,0.0585121073714795
